DATE,index
1987-01-01,70.26697309697501
1987-02-01,70.640677975989
1987-03-01,71.04677350403401
1987-04-01,71.411571430548
1987-05-01,71.88271079165
1987-06-01,72.295931836369
1987-07-01,72.620964407767
1987-08-01,73.162915823633
1987-09-01,73.748812848759
1987-10-01,74.006600741259
1987-11-01,74.418068197243
1987-12-01,74.579602213844
1988-01-01,74.661236504517
1988-02-01,74.589350170401
1988-03-01,74.477838641756
1988-04-01,74.52675221372
1988-05-01,74.812447841264
1988-06-01,75.003557596999
1988-07-01,75.031897232167
1988-08-01,74.84114697609
1988-09-01,74.710395286403
1988-10-01,74.600365035169
1988-11-01,74.638646200604
1988-12-01,74.69527814905099
1989-01-01,74.51985410031
1989-02-01,75.167315117089
1989-03-01,75.554839658476
1989-04-01,75.39413751351
1989-05-01,75.043048984853
1989-06-01,74.51599389557299
1989-07-01,74.181272975109
1989-08-01,73.43515633037501
1989-09-01,73.010419195448
1989-10-01,72.716885259375
1989-11-01,72.991134302295
1989-12-01,73.000867107811
1990-01-01,73.096791055169
1990-02-01,72.873304405235
1990-03-01,72.19255065164799
1990-04-01,71.646704569383
1990-05-01,70.693405255308
1990-06-01,69.990015715067
1990-07-01,69.355063544311
1990-08-01,68.904851733152
1990-09-01,68.604140318748
1990-10-01,68.084325545844
1990-11-01,67.123137621483
1990-12-01,66.191689955218
1991-01-01,65.31044603572799
1991-02-01,64.750964881157
1991-03-01,64.450874858365
1991-04-01,64.03308056533001
1991-05-01,64.08566826282
1991-06-01,64.06278068014599
1991-07-01,64.012165293896
1991-08-01,64.09624725287699
1991-09-01,64.136217545814
1991-10-01,64.106586995428
1991-11-01,63.863101419353
1991-12-01,63.806676873895995
1992-01-01,63.559357249483995
1992-02-01,63.560265390518
1992-03-01,63.811482789237004
1992-04-01,64.4007934939
1992-05-01,64.35109030449199
1992-06-01,64.147331443599
1992-07-01,63.940288866265
1992-08-01,63.966683789674995
1992-09-01,63.904673930701996
1992-10-01,64.03007272583
1992-11-01,64.03328963426401
1992-12-01,64.468249442311
1993-01-01,64.861494842964
1993-02-01,64.949814233572
