title,address,city,state,zipcode,price,date_sold,readable_date_sold,bedrooms,bathrooms,living_area,lot_size,year_built,home_type,home_status,finished_SqFt,total_rooms,neighborhood,zpid
945000,3 Bird Pl,Boston,MA,02132,945000,1464764400000,6/1/16,4,3,2542,9148,2001,SINGLE_FAMILY,SOLD,2542,8,West Roxbury,59162179
350376,137 Washington St,Boston,MA,02136,350376,1461326400000,4/22/16,3,1,1364,9147,1950,SINGLE_FAMILY,SOLD,1364,5,Hyde Park,59128396
650000,12 Paulman Cir,Boston,MA,02132,650000,1470380400000,8/5/16,3,2,2084,9147,1952,SINGLE_FAMILY,SOLD,2084,7,West Roxbury,59153890
750000,320 Poplar St,Boston,MA,02131,750000,1449212400000,12/4/15,5,2.5,2800,9147,1899,MULTI_FAMILY,SOLD,2800,9,Roslindale,59141258
612000,388 Park St,Boston,MA,02132,612000,1470225600000,8/3/16,6,2.5,2650,9147,1900,SINGLE_FAMILY,SOLD,2650,14,South Dorchester,59106601
600000,32 Cummins Hwy,Boston,MA,02131,600000,1450162800000,12/15/15,6,4,2000,9147,1900,MULTI_FAMILY,SOLD,2000,15,Roslindale,59145637
625000,26 Stearns Rd,Boston,MA,02132,625000,1534345200000,8/15/18,3,2,2655,9147,1964,SINGLE_FAMILY,RECENTLY_SOLD,2655,8,West Roxbury,59159868
1025000,9 Rockwood St,Boston,MA,02130,1025000,1530212400000,6/28/18,3,1.5,2038,9147,1935,SINGLE_FAMILY,RECENTLY_SOLD,2038,8,Jamaica Plain,59134665
516000,242 Poplar St,Boston,MA,02131,516000,1532934000000,7/30/18,7,3,3555,9147,1905,MULTI_FAMILY,RECENTLY_SOLD,3555,15,Roslindale,59147104
485000,15 Valley Rd,Boston,MA,02124,485000,1512594000000,12/6/17,3,1,1146,9147,1954,SINGLE_FAMILY,RECENTLY_SOLD,1146,5,South Dorchester,59117147
2455000,5 Brewer St,Boston,MA,02130,2455000,1534186800000,8/13/18,5,4,3640,9147,1875,SINGLE_FAMILY,RECENTLY_SOLD,3640,13,Jamaica Plain,59133730
550000,23 S Waverly St,Boston,MA,02135,550000,1446793200000,11/6/15,2,1,1118,9147,1951,SINGLE_FAMILY,SOLD,1118,5,Brighton,59090972
1505500,332 Savin Hill Ave,Boston,MA,02125,1505500,1506600000000,9/28/17,6,2,3035,9147,1890,MULTI_FAMILY,SOLD,3035,13,North Dorchester,59113285
650000,165 Bigelow St,Boston,MA,02135,650000,1504771200000,9/7/17,2,2,1100,9147,1921,TOWNHOUSE,SOLD,1100,6,Brighton,59095535
325000,22 Burley St,Boston,MA,02131,325000,1458025200000,3/15/16,4,1,1558,9147,1956,SINGLE_FAMILY,SOLD,3000,8,Roslindale,2100055696
850000,22 Burley St,Boston,MA,02131,850000,1493366400000,4/28/17,4,3,3000,9055,2017,SINGLE_FAMILY,SOLD,3000,8,Roslindale,59146993
480000,55 Paine St,Boston,MA,02131,480000,1535137200000,8/24/18,3,1,1216,9147,1848,SINGLE_FAMILY,RECENTLY_SOLD,1216,6,Roslindale,59146825
545000,118 Keystone St,Boston,MA,02132,545000,1533135600000,8/1/18,4,1,1700,9147,1920,SINGLE_FAMILY,RECENTLY_SOLD,1700,6,West Roxbury,59160398
580000,24 Parkside Dr,Boston,MA,02130,580000,1476169200000,10/11/16,4,3,1840,9147,1968,SINGLE_FAMILY,SOLD,1840,8,Jamaica Plain,59134957
380000,250 Poplar St,Boston,MA,02131,380000,1460574000000,4/13/16,6,3,9143,9143,1905,SINGLE_FAMILY,SOLD,9143,15,Roslindale,59147102
950000,6 Rundel Park,Boston,MA,02124,950000,1525201200000,5/1/18,6,2.5,2775,9031,1925,SINGLE_FAMILY,RECENTLY_SOLD,2775,16,South Dorchester,59116108
590000,15 Rickerhill Rd,Boston,MA,02132,590000,1466492400000,6/21/16,4,1.5,1769,9025,1930,SINGLE_FAMILY,SOLD,1769,9,West Roxbury,59153940
$2.29M,54 Burroughs St # CH,Boston,MA,02130,2295000,1535828400000,9/1/18,4,3.5,4783,4791,1899,TOWNHOUSE,FOR_SALE,4783,,Jamaica Plain,2092659342
